1,Elon Musk,0782B191B5,0,1520299350.62,1520299353.04,1,RIGHT
2,Elon Musk,0782B191B5,65,1520299679.89,1520299802.73,1,RIGHT
3,Elon Musk,0782B191B5,28,1520304619.96,1520304675.9,1,RIGHT
4,Elon Musk,0782B191B5,0,1520304741.72,1520304744.05,1,RIGHT
5,Elon Musk,0782B191B5,17,1520304826.39,1520304859.96,1,RIGHT
6,Elon Musk,0782B191B5,0,1520304883.45,1520304885.67,1,RIGHT
7,Elon Musk,0782B191B5,0,1520304932.64,1520304934.87,1,RIGHT
8,Elon Musk,0782B191B5,73,1520304969.97,1520305111.58,1,RIGHT
9,Elon Musk,0782B191B5,21,1520305482.54,1520305524.05,1,RIGHT
10,Elon Musk,0782B191B5,0,1520305766.22,1520305768.39,1,RIGHT
11,Elon Musk,0782B191B5,0,1520305778.81,1520305781.01,1,RIGHT
12,Elon Musk,0782B191B5,86,1520305791.85,1520305958.63,1,RIGHT
13,Elon Musk,0782B191B5,13,1520306358.22,1520306384.23,1,RIGHT
14,Elon Musk,0782B191B5,0,1520306480.86,1520306483.02,1,RIGHT
15,Elon Musk,0782B191B5,23,1520306486.87,1520306533.97,1,RIGHT
16,Elon Musk,0782B191B5,0,1520312794.99,1520312797.19,1,RIGHT
17,Elon Musk,0782B191B5,0,1520317595.79,1520317598.0,1,RIGHT
18,Elon Musk,0782B191B5,0,1520319607.48,1520319609.74,1,RIGHT
19,Elon Musk,0782B191B5,0,1520326700.51,1520326702.8,1,RIGHT
20,Elon Musk,0782B191B5,33,1520327550.83,1520327620.23,1,RIGHT
21,Elon Musk,0782B191B5,30,1520334629.15,1520334694.28,1,RIGHT
22,Elon Musk,0782B191B5,8,1520334758.29,1520334778.55,1,RIGHT
23,Elon Musk,0782B191B5,0,1520334801.06,1520334803.27,1,RIGHT
24,Elon Musk,0782B191B5,31,1520334814.14,1520334878.45,1,RIGHT
25,Elon Musk,0782B191B5,0,1520335142.37,1520335144.64,1,RIGHT
26,Elon Musk,0782B191B5,6,1520335146.87,1520335162.3,1,RIGHT
27,Elon Musk,0782B191B5,0,1520380979.56,1520380983.14,1,RIGHT
28,Elon Musk,0782B191B5,0,1520380990.91,1520380993.43,1,RIGHT
29,Elon Musk,0782B191B5,0,1520382750.13,1520382752.1,1,RIGHT
30,Elon Musk,0782B191B5,0,1520383796.41,1520383798.41,1,RIGHT
31,Elon Musk,0782B191B5,0,1520386025.12,1520386027.51,1,RIGHT
32,Elon Musk,0782B191B5,1,1520387423.09,1520387503.39,1,RIGHT
33,Elon Musk,0782B191B5,0,1520389733.36,1520389757.34,1,RIGHT
34,Elon Musk,0782B191B5,0,1520411354.52,1520411356.48,1,RIGHT
35,Elon Musk,0782B191B5,0,1520422406.11,1520422409.44,1,RIGHT
36,Elon Musk,0782B191B5,0,1520422429.42,1520422431.36,1,RIGHT
37,Elon Musk,0782B191B5,1,1520422432.95,1520422459.36,1,RIGHT
